expression,reading,meaning,tags,group
でも,でも,"but, however",N5,N5_Group_5
電話,でんわ,a telephone,N5,N5_Group_5
温い,ぬるい,lukewarm,N5,N5_Group_5
動物,どうぶつ,animal,N5,N5_Group_5
～がる,～がる,feel,N5,N5_Group_5
出かける,でかける,to go out; to depart,N5,N5_Group_5
時計,とけい,a watch; a clock,N5,N5_Group_5
広い,ひろい,spacious; wide; broad,N5,N5_Group_5
どの,どの,which,N5,N5_Group_5
どれ,どれ,which one,N5,N5_Group_5
なぜ,なぜ,why (same as どうして),N5,N5_Group_5
洗う,あらう,to wash,N5,N5_Group_5
太い,ふとい,"fat, thick",N5,N5_Group_5
七つ,ななつ,seven things,N5,N5_Group_5
～さん,～さん,"Mr. ~, Ms. ~",N5,N5_Group_5
荷物,にもつ,luggage; baggage,N5,N5_Group_5
ニュース,ニュース,news,N5,N5_Group_5
在る,ある,"to be, to have",N5,N5_Group_5
はい,はい,yes,N5,N5_Group_5
灰皿,はいざら,ashtray,N5,N5_Group_5
葉書,はがき,postcard,N5,N5_Group_5
早い,はやい,early,N5,N5_Group_5
ハンカチ,ハンカチ,handkerchief,N5,N5_Group_5
有る,ある,"to be, to have",N5,N5_Group_5
～時間,～じかん,~ hours,N5,N5_Group_5
番号,ばんごう,"number, series of digits",N5,N5_Group_5
半分,はんぶん,half,N5,N5_Group_5
一つ,ひとつ,one thing,N5,N5_Group_5
病院,びょういん,hospital,N5,N5_Group_5
歌う,うたう,to sing,N5,N5_Group_5
封筒,ふうとう,envelope,N5,N5_Group_5
二つ,ふたつ,two things,N5,N5_Group_5
豚肉,ぶたにく,pork,N5,N5_Group_5
文章,ぶんしょう,"sentence, text",N5,N5_Group_5
下手,へた,"unskillful, poor",N5,N5_Group_5
押す,おす,"to push, to press, to stamp (e.g., a passport)",N5,N5_Group_5
部屋,へや,a room,N5,N5_Group_5
勉強,べんきょう (する),study,N5,N5_Group_5
帽子,ぼうし,hat; cap,N5,N5_Group_5
ボールペン,ボールペン,ball-point pen,N5,N5_Group_5
本棚,ほんだな,bookshelf,N5,N5_Group_5
泳ぐ,およぐ,to swim,N5,N5_Group_5
本当,ほんとう,"real, true",N5,N5_Group_5
また,また,and; furthermore,N5,N5_Group_5
三つ,みっつ,three things,N5,N5_Group_5
六つ,むっつ,six things,N5,N5_Group_5
野菜,やさい,vegetable,N5,N5_Group_5
切る,きる,to cut; to hang up (a phone),N5,N5_Group_5
八つ,やっつ,eight things,N5,N5_Group_5
昨夜,ゆうべ,last night,N5,N5_Group_5
洋服,ようふく,Western-style clothes,N5,N5_Group_5
四つ,よっつ,four things,N5,N5_Group_5
来週,らいしゅう,next week,N5,N5_Group_5
咲く,さく,to bloom,N5,N5_Group_5
ラジオカセ,ラジオカセ,radio cassette player,N5,N5_Group_5
両親,りょうしん,"parents (lit., both parents)",N5,N5_Group_5
料理,りょうり,cooking; cuisine,N5,N5_Group_5
旅行,りょこう,"travel, trip",N5,N5_Group_5
練習,れんしゅう (する),(to) practice,N5,N5_Group_5
違う,ちがう,to be different; to differ; wrong,N5,N5_Group_5
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",N5,N5_Group_5
あっち,あっち,over there,N5,N5_Group_5
あなた,あなた,you,N5,N5_Group_5
お菓子,おかし,"confections, sweets, snack",N5,N5_Group_5
奥さん,おくさん,(someone else's) wife (hon.),N5,N5_Group_5
着く,つく,"to arrive at, to reach",N5,N5_Group_5
男の子,おとこのこ,boy,N5,N5_Group_5
お風呂,おふろ,a bath,N5,N5_Group_5
お弁当,おべんとう,a boxed lunch,N5,N5_Group_5
女の子,おんなのこ,girl,N5,N5_Group_5
外国人,がいこくじん,foreigner,N5,N5_Group_5
飛ぶ,とぶ,"to fly, to hop",N5,N5_Group_5
買い物,かいもの,shopping,N5,N5_Group_5
片仮名,かたかな,katakana,N5,N5_Group_5
喫茶店,きっさてん,café,N5,N5_Group_5
交差点,こうさてん,intersection,N5,N5_Group_5
しかし,しかし,however; but,N5,N5_Group_5
自転車,じてんしゃ,bicycle,N5,N5_Group_5
自動車,じどうしゃ,automobile,N5,N5_Group_5
ゼロ,ゼロ,zero,N5,N5_Group_5
そちら,そちら,over there,N5,N5_Group_6
安い,やすい,inexpensive; cheap (things),N5,N5_Group_6
そっち,そっち,over there,N5,N5_Group_6
よく,よく,"frequently, often (much); well, skillfully",N5,N5_Group_6
大使館,たいしかん,embassy,N5,N5_Group_6
有名,ゆうめい,famous,N5,N5_Group_6
登る,のぼる,to climb,N5,N5_Group_6
たばこ,たばこ,"tobacco, cigarettes",N5,N5_Group_6
～週間,～しゅうかん,~ weeks,N5,N5_Group_6
どうも,どうも,Thank you; somehow; no matter how hard one may try,N5,N5_Group_6
暖かい,あたたかい,warm,N5,N5_Group_6
図書館,としょかん,library,N5,N5_Group_6
すぐに,すぐに,"immediately, soon",N5,N5_Group_6
乗る,のる,"to get on, to ride in, to board",N5,N5_Group_6
どなた,どなた,who,N5,N5_Group_6
面白い,おもしろい,"interesting, amusing",N5,N5_Group_6
夏休み,なつやすみ,summer vacation,N5,N5_Group_6
～すぎ,～すぎ,"past; to exceed, ~ too much",N5,N5_Group_6
バス,バス,bus; bath; bass,N5,N5_Group_6
楽しい,たのしい,"enjoyable, fun",N5,N5_Group_6
貼る,はる,to post; to paste; to attach,N5,N5_Group_6
飛行機,ひこうき,airplane,N5,N5_Group_6
平仮名,ひらがな,hiragana,N5,N5_Group_6
ペン,ペン,pen,N5,N5_Group_6
どんな,どんな,"what, what kind of",N5,N5_Group_6
万年筆,まんねんひつ,fountain pen,N5,N5_Group_6
～だけ,～だけ,"only ~, just ~, as ~",N5,N5_Group_6
引く,ひく,"to pull, to draw; subtract",N5,N5_Group_6
向こう,むこう,"beyond, over there",N5,N5_Group_6
うるさい,うるさい,noisy; annoying,N5,N5_Group_6
もっと,もっと,more,N5,N5_Group_6
八百屋,やおや,greengrocer,N5,N5_Group_6
郵便局,ゆうびんきょく,post office,N5,N5_Group_6
美味しい,おいしい,"delicious, tasty",N5,N5_Group_6
磨く,みがく,to brush (teeth); to polish,N5,N5_Group_6
留学生,りゅうがくせい,international student,N5,N5_Group_6
～たち,～たち,plural suffix,N5,N5_Group_6
冷蔵庫,れいぞうこ,refrigerator,N5,N5_Group_6
つまらない,つまらない,"boring, dull; insignificant",N5,N5_Group_6
足; 脚,あし,foot; leg,N5,N5_Group_6
お母さん,おかあさん,mother (formal),N5,N5_Group_6
上げる,あげる,"to raise, to lift",N5,N5_Group_6
伯父; 叔父さん,おじさん,"uncle, middle-aged man",N5,N5_Group_6
丸い; 円い,まるい,"round, circular",N5,N5_Group_6
おじいさん,おじいさん,"grandfather, male senior citizen",N5,N5_Group_6
～など,～など,et cetera,N5,N5_Group_6
お父さん,おとうさん,father (formal),N5,N5_Group_6
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),N5,N5_Group_6
浴びる,あびる,"to bathe, to shower",N5,N5_Group_6
伯母さん; 叔母さん,おばさん,aunt,N5,N5_Group_6
おばあさん,おばあさん,"grandmother, female senior-citizen",N5,N5_Group_6
カップ,カップ,cup,N5,N5_Group_6
カメラ,カメラ,camera,N5,N5_Group_6
カレー,カレー,curry (abbr. for curry and rice),N5,N5_Group_6
川; 河,かわ,river,N5,N5_Group_6
起きる,おきる,"to get up (e.g., from sleeping); to happen",N5,N5_Group_6
ギター,ギター,guitar,N5,N5_Group_6
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),N5,N5_Group_6
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),N5,N5_Group_6
クラス,クラス,a class,N5,N5_Group_6
グラム,グラム,gram,N5,N5_Group_6
コート,コート,"coat; court (e.g., tennis)",N5,N5_Group_6
降りる,おりる,to get off,N5,N5_Group_6
コップ,コップ,a tumbler; a glass,N5,N5_Group_6
じゃ; じゃあ,じゃ; じゃあ,"well, well then",N5,N5_Group_6
シャツ,シャツ,shirt,N5,N5_Group_6
そう; そうです,そう; そうです,"yes; appears, to be the case",N5,N5_Group_6
それから,それから,"and then, after that",N5,N5_Group_6
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",N5,N5_Group_6
借りる,かりる,"to borrow, to owe",N5,N5_Group_6
テープ,テープ,tape,N5,N5_Group_6
テスト,テスト,test,N5,N5_Group_6
テレビ,テレビ,"television, TV",N5,N5_Group_6
トイレ,トイレ,bathroom; toilet,N5,N5_Group_6
ナイフ,ナイフ,knife,N5,N5_Group_6
ノート,ノート,notebook,N5,N5_Group_6
消える,きえる,"to vanish, to disappear",N5,N5_Group_6
バター,バター,butter,N5,N5_Group_6
プール,プール,swimming pool,N5,N5_Group_6
ページ,ページ,a page,N5,N5_Group_6
ベッド,ベッド,bed,N5,N5_Group_6
ペット,ペット,pet,N5,N5_Group_6
ボタン,ボタン,button,N5,N5_Group_6
できる,できる,to be able to (to accomplish),N5,N5_Group_6
マッチ,マッチ,match,N5,N5_Group_6
ラジオ,ラジオ,radio,N5,N5_Group_6
アパート,アパート,apartment (abbr.),N5,N5_Group_6
エレベーター,エレベーター,elevator,N5,N5_Group_6
コーヒー,コーヒー,coffee,N5,N5_Group_6
シャワー,シャワー,shower,N5,N5_Group_6
晴れる,はれる,to be sunny,N5,N5_Group_6
スカート,スカート,skirt,N5,N5_Group_6
スプーン,スプーン,spoon,N5,N5_Group_6
スポーツ,スポーツ,sport(s),N5,N5_Group_6
タクシー,タクシー,taxi,N5,N5_Group_6
テープレコーダー,テープレコーダー,tape recorder,N5,N5_Group_6
テーブル,テーブル,table,N5,N5_Group_6
忘れる,わすれる,to forget,N5,N5_Group_6
デパート,デパート,(abbr.) department store,N5,N5_Group_6
ネクタイ,ネクタイ,"tie, necktie",N5,N5_Group_6
パーティー,パーティー,a party,N5,N5_Group_6
フィルム,フィルム,film (roll of),N5,N5_Group_6
フォーク,フォーク,fork,N5,N5_Group_6
ポケット,ポケット,pocket,N5,N5_Group_6
コピーする,コピーする,to copy,N5,N5_Group_6
メートル,メートル,meter,N5,N5_Group_6
レコード,レコード,record,N5,N5_Group_6
レストラン,レストラン,restaurant,N5,N5_Group_6
僕,ぼく,I (used by men towards those of equal or lower status),N4,N4_Group_1
様,よう,"way, manner, kind",N4,N4_Group_1
点,てん,"mark, score, grade; point, dot",N4,N4_Group_1
踏む,ふむ,"to step on, to tread on",N4,N4_Group_1
大抵,たいてい,"generally, usually",N4,N4_Group_1
彼,かれ,"he, boyfriend",N4,N4_Group_1
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,N4,N4_Group_1
沸く,わく,"to boil, to grow hot",N4,N4_Group_1
日,ひ,"sun, sunshine, day",N4,N4_Group_1
～月,～つき,month,N4,N4_Group_1
力,ちから,"strength, power",N4,N4_Group_1
折る,おる,"to snap, to break; to bend",N4,N4_Group_1
失礼,しつれい,"discourtesy, impoliteness; Excuse me",N4,N4_Group_1
倍,ばい,double,N4,N4_Group_1
彼ら,かれら,they (usually male),N4,N4_Group_1
壊す,こわす,"to break, to break down",N4,N4_Group_1
昔,むかし,old days; past,N4,N4_Group_1
大事,だいじ,"important, valuable, serious matter",N4,N4_Group_1
壁,かべ,wall,N4,N4_Group_1
怒る,おこる,to get angry; to scold angrily,N4,N4_Group_1
～会,～かい,~ meeting,N4,N4_Group_1
答,こたえ,"answer, response",N4,N4_Group_1
浅い,あさい,"shallow, superficial",N4,N4_Group_1
止む,やむ,"to cease, to stop",N4,N4_Group_1
心,こころ,"heart, mind",N4,N4_Group_1
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",N4,N4_Group_1
用,よう,"errand, task, business (to take care of)",N4,N4_Group_1
通る,とおる,"to pass (by), to go through",N4,N4_Group_1
拝見,はいけんする,"(humble) (polite) seeing, look at",N4,N4_Group_1
子,こ,child,N4,N4_Group_1
～軒,～けん,counter for houses,N4,N4_Group_1
落る,おちる,"to fall, to drop",N4,N4_Group_1
為,ため,"good, advantage, in order to",N4,N4_Group_1
自由,じゆう,freedom,N4,N4_Group_1
市,し,city,N4,N4_Group_1
思う,おもう,"to think, to feel",N4,N4_Group_1
是非,ぜひ,"certainly, by all means; without fail",N4,N4_Group_1
腕,うで,arm (in reference to body),N4,N4_Group_1
安全,あんぜん,"safety, security",N4,N4_Group_1
寄る,よる,to stop by,N4,N4_Group_1
訳,わけ,reason; explanation,N4,N4_Group_1
席,せき,a seat,N4,N4_Group_1
億,おく,hundred million,N4,N4_Group_1
開く,ひらく,to open; to hold (an event),N4,N4_Group_1
湯,ゆ,hot water,N4,N4_Group_1
糸,いと,thread,N4,N4_Group_1
だめ,だめ,"useless, no good, hopeless",N4,N4_Group_1
飾る,かざる,"to decorate, to adorn",N4,N4_Group_1
正月,しょうがつ,"New Year, New Year's Day",N4,N4_Group_1
うん,うん,"yes (informal), all right (ok)",N4,N4_Group_1
今度,こんど,"now, this time, near future, one of these days, next time",N4,N4_Group_1
行う,おこなう,to carry out; to conduct (typically used in written language),N4,N4_Group_1
そう,そう,"really, (is that) so; yes, right",N4,N4_Group_1
出席,しゅっせきする,attendance,N4,N4_Group_1
社長,しゃちょう,president of a company,N4,N4_Group_1
驚く,おどろく,"to be surprised, to be astonished",N4,N4_Group_1
季節,きせつ,season (in reference to weather),N4,N4_Group_1
無理,むり,"unreasonable, impossible",N4,N4_Group_1
品物,しなもの,goods,N4,N4_Group_1
探す,さがす,"to search, to seek, to look for",N4,N4_Group_1
人形,にんぎょう,"doll, figure",N4,N4_Group_1
利用,りよう,"use, utilization",N4,N4_Group_1
用事,ようじ,business to take care of; tasks; errands,N4,N4_Group_1
通う,かよう,to go back and forth; to commute,N4,N4_Group_1
故障,こしょうする,breakdown,N4,N4_Group_1
気分,きぶん,"feeling, mood",N4,N4_Group_1
場合,ばあい,"case, situation",N4,N4_Group_1
写す,うつす,to copy (v.t.); to photograph,N4,N4_Group_1
世界,せかい,world,N4,N4_Group_1
住所,じゅうしょ,address; place of residence,N4,N4_Group_1
柔道,じゅうどう,judo,N4,N4_Group_1
叱る,しかる,to scold,N4,N4_Group_1
一度,いちど,"once, one time",N4,N4_Group_1
水道,すいどう,"water service, water line",N4,N4_Group_1
匂い,におい,"odor, smell",N4,N4_Group_1
空く,あく,"to open, to become empty (vacant)",N4,N4_Group_1
原因,げんいん,"cause, origin, source",N4,N4_Group_1
場所,ばしょ,"place, location",N4,N4_Group_1
以下,いか,"less than, below",N4,N4_Group_1
済む,すむ,"to finish, to end",N4,N4_Group_1
小鳥,ことり,small bird,N4,N4_Group_1
下宿,げしゅく,"lodging, boarding house",N4,N4_Group_1
法律,ほうりつ,law,N4,N4_Group_1
送る,おくる,"to send, to dispatch",N4,N4_Group_1
反対,はんたい,"oppose, opposition, resistance",N4,N4_Group_1
今夜,こんや,"this evening, tonight",N4,N4_Group_1
急行,きゅうこう,express train or bus,N4,N4_Group_1
騒ぐ,さわぐ,"to make noise, to clamor",N4,N4_Group_1
手袋,てぶくろ,glove(s),N4,N4_Group_1
校長,こうちょう,"principal, headmaster",N4,N4_Group_1
冷房,れいぼう,"cooling, air conditioning",N4,N4_Group_1
運ぶ,はこぶ,"to transport, to carry",N4,N4_Group_1
遠慮,えんりょする,"restraint, reserve, hesitate",N4,N4_Group_1
凄い,すごい,"terrific, great",N4,N4_Group_1
入学,にゅうがくする,entry to school or university,N4,N4_Group_1
下る,さがる,"to descend, to drop, to fall",N4,N4_Group_1
理由,りゆう,reason,N4,N4_Group_1
昼間,ひるま,"daytime, during the day",N4,N4_Group_1
下着,したぎ,underwear,N4,N4_Group_1
空く,すく,"to be empty (in reference to people), to be less crowded",N4,N4_Group_1
こう,こう,"like this, this way",N4,N4_Group_1
遊び,あそび,play,N4,N4_Group_1
まず,まず,"first (of all), to start with",N4,N4_Group_1
払う,はらう,to pay,N4,N4_Group_1
遠く,とおく,"far away, distant",N4,N4_Group_1
大体,だいたい,approximately; in most cases; in general; to begin with (same as もともと),N4,N4_Group_1
返事,へんじ,"reply, answer",N4,N4_Group_1
以上,いじょう,more than; this is all,N4,N4_Group_1
特急,とっきゅう,limited express (train faster than an express),N4,N4_Group_1
帰り,かえり,"return, coming back",N4,N4_Group_1
具合,ぐあい,"condition, state, health",N4,N4_Group_1
危険,きけん,"danger, risk, hazard",N4,N4_Group_1
彼女,かのじょ,girlfriend; she,N4,N4_Group_1
田舎,いなか,"rural, countryside",N4,N4_Group_2
厳しい,きびしい,hard; rigorous; strict,N4,N4_Group_2
暖房,だんぼう,heating,N4,N4_Group_2
落す,おとす,"to drop, to lose",N4,N4_Group_2
全然,ぜんぜん,"not at all; wholly, entirely",N4,N4_Group_2
留守,るす,absence; not at home,N4,N4_Group_2
悲しい,かなしい,"sad, sorrowful",N4,N4_Group_2
移る,うつる,to move (from a house); to transfer (from a department); to shift,N4,N4_Group_2
会場,かいじょう,"venue, meeting place",N4,N4_Group_2
～学部,～がくぶ,department of a university,N4,N4_Group_2
最後,さいご,"last, end",N4,N4_Group_2
勝つ,かつ,to win,N4,N4_Group_2
美しい,うつくしい,"beautiful, lovely",N4,N4_Group_2
値段,ねだん,price,N4,N4_Group_2
きっと,きっと,"surely, definitely, undoubtedly, certainly",N4,N4_Group_2
戻る,もどる,to return (v.i.); to come back,N4,N4_Group_2
汽車,きしゃ,train (steam),N4,N4_Group_2
細かい,こまかい,"small; fine, minute",N4,N4_Group_2
最初,さいしょ,"beginning, first",N4,N4_Group_2
生きる,いきる,to live,N4,N4_Group_2
～ちゃん,～ちゃん,suffix for familiar (female) person,N4,N4_Group_2
安心,あんしん,"peace of mind, relief",N4,N4_Group_2
優しい,やさしい,"kind (person), gentle (person), easy (problem)",N4,N4_Group_2
過ぎる,すぎる,"to exceed, to go beyond",N4,N4_Group_2
文化,ぶんか,culture,N4,N4_Group_2
この間,このあいだ,"the other day, recently",N4,N4_Group_2
習慣,しゅうかん,custom (in reference to culture),N4,N4_Group_2
止める,やめる,"to end, to stop",N4,N4_Group_2
柔らかい,やわらかい,"soft (in reference to texture), tender",N4,N4_Group_2
背中,せなか,back (of body),N4,N4_Group_2
～製,～せい,made in ~,N4,N4_Group_2
壊れる,こわれる,"to be broken, to break",N4,N4_Group_2
仕方,しかた,way (of doing something),N4,N4_Group_2
よろしい,よろしい,"(hon.) good, OK, all right",N4,N4_Group_2
失敗,しっぱい,"failure, mistake",N4,N4_Group_2
揺れる,ゆれる,"to shake, to sway",N4,N4_Group_2
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",N4,N4_Group_2
経験,けいけんする,experience,N4,N4_Group_2
お子さん,おこさん,(someone else's) child (polite),N4,N4_Group_2
迎える,むかえる,to welcome; to meet; to greet,N4,N4_Group_2
真中,まんなか,"middle, center",N4,N4_Group_2
花見,はなみ,cherry-blossom viewing,N4,N4_Group_2
途中,とちゅう,"on the way, midway",N4,N4_Group_2
逃げる,にげる,"to escape, to run away",N4,N4_Group_2
見物,けんぶつ,sightseeing,N4,N4_Group_2
